species,name,family,habitat,length_cm,length_type,trophic_level,status,region,source,type,indicator,schooling_behaviour, mobility,position,activity_patterns
Ilisha sirishae,Lobejaw ilisha,Pristigasteridae,pelagic-neritic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Opisthopterus tardoore,Tardoore,Pristigasteridae,pelagic-neritic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Opisthopterus valenciennesi,Slender tardoor,Pristigasteridae,pelagic-neritic,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pellona ditchela,Indian pellona,Pristigasteridae,pelagic,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Raconda russeliana,Raconda,Pristigasteridae,pelagic-neritic,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pristiophorus japonicus,Japanese sawshark,Pristiophoridae,demersal,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Eridacnis radcliffei,Pygmy ribbontail catshark,Proscylliidae,bathydemersal,,,4.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Proscyllium habereri,Graceful catshark,Proscylliidae,demersal,,,4.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Proscyllium venustum,,Proscylliidae,demersal,,,4.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Psettodes erumei,Indian halibut,Psettodidae,demersal,,,4.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudocarcharias kamoharai,Crocodile shark,Pseudocarchariidae,pelagic-oceanic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Amsichthys knighti,Bugeye dottyback,Pseudochromidae,reef-associated,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Congrogadus hierichthys,Sulu eelblenny,Pseudochromidae,demersal,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Congrogadus subducens,Carpet eel-blenny,Pseudochromidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Labracinus atrofasciatus,Blackbarred dottyback,Pseudochromidae,reef-associated,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Labracinus cyclophthalmus,Fire-tail devil,Pseudochromidae,reef-associated,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Manonichthys scintilla,Sparkfin Dottyback,Pseudochromidae,reef-associated,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Ogilbyina queenslandiae,Queensland dottyback,Pseudochromidae,reef-associated,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pictichromis diadema,Diadem dottyback,Pseudochromidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pictichromis porphyrea,Magenta dottyback,Pseudochromidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudochromis bitaeniatus,Double-striped dottyback,Pseudochromidae,reef-associated,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudochromis colei,False Bandit Dottyback,Pseudochromidae,reef-associated,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudochromis cyanotaenia,Surge dottyback,Pseudochromidae,reef-associated,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudochromis fowleri,Philippines dottyback,Pseudochromidae,demersal,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudochromis fuscus,Brown dottyback,Pseudochromidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudochromis luteus,,Pseudochromidae,reef-associated,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudochromis marshallensis,Marshall Is. dottyback,Pseudochromidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudochromis perspicillatus,Southeast Asian blackstripe dottyback,Pseudochromidae,reef-associated,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudochromis ransonneti,Karimunjawa dottyback,Pseudochromidae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudochromis striatus,Striated dottyback,Pseudochromidae,reef-associated,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudochromis tapeinosoma,Blackmargin dottyback,Pseudochromidae,reef-associated,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudoplesiops annae,Anna's dottyback,Pseudochromidae,reef-associated,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudoplesiops rosae,Rose Island basslet,Pseudochromidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudoplesiops typus,Hidden basslet,Pseudochromidae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudotriakis microdon,False catshark,Pseudotriakidae,bathydemersal,,,4.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rachycentron canadum,Cobia,Rachycentridae,reef-associated,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Radiicephalus elongatus,Tapertail,Radiicephalidae,pelagic-oceanic,,,3.9,questionable,South China Sea,Fishbase.se,fish,FALSE,,,,
Dipturus gigas,Giant skate,Rajidae,bathydemersal,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Dipturus kwangtungensis,Kwangtung skate,Rajidae,demersal,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Dipturus macrocauda,Bigtail skate,Rajidae,bathydemersal,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Dipturus tengu,Acutenose skate,Rajidae,demersal,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Okamejei acutispina,Sharpspine skate,Rajidae,demersal,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Okamejei boesemani,Boeseman's skate,Rajidae,demersal,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Okamejei cairae,Borneo sand Skate,Rajidae,benthopelagic,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Okamejei hollandi,Yellow-spotted skate,Rajidae,demersal,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Okamejei kenojei,Ocellate spot skate,Rajidae,demersal,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Okamejei meerdervoortii,Bigeye skate,Rajidae,demersal,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Okamejei mengae,,Rajidae,demersal,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Regalecus glesne,King of herrings,Regalecidae,pelagic-oceanic,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Regalecus russellii,Oarfifsh,Regalecidae,bathypelagic,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhincodon typus,Whale shark,Rhincodontidae,pelagic-oceanic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhina ancylostomus,Bowmouth guitarfish,Rhinidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhynchobatus australiae,Bottlenose wedgefish,Rhinidae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhynchobatus djiddensis,Giant guitarfish,Rhinidae,reef-associated,,,3.6,questionable,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhynchobatus springeri,Broadnose wedgefish,Rhinidae,pelagic-neritic,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhinobatos borneensis,Borneo guitarfish,Rhinobatidae,benthopelagic,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhinobatos formosensis,Taiwan guitarfish,Rhinobatidae,demersal,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhinobatos hynnicephalus,Angel fish,Rhinobatidae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhinobatos schlegelii,Brown guitarfish,Rhinobatidae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Harriotta raleighana,Pacific longnose chimaera,Rhinochimaeridae,bathydemersal,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhinochimaera pacifica,Pacific spookfish,Rhinochimaeridae,bathydemersal,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhinoptera javanica,Flapnose ray,Rhinopteridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhyacichthys aspro,Loach goby,Rhyacichthyidae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rondeletia loricata,Redmouth whalefish,Rondeletiidae,bathypelagic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Neosalanx brevirostris,,Salangidae,demersal,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Neosalanx tangkahkeii,Chinese icefish,Salangidae,demersal,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Protosalanx hyalocranius,Clearhead icefish,Salangidae,demersal,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Salanx ariakensis,,Salangidae,demersal,,,2.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Salanx chinensis,Chinese noodlefish,Salangidae,demersal,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Salanx cuvieri,Noodlefish,Salangidae,demersal,,,2.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Plagiopsetta glossa,Tongue flatfish,Samaridae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Samaris cristatus,Cockatoo righteye flounder,Samaridae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Samariscus asanoi,,Samaridae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Samariscus filipectoralis,,Samaridae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Samariscus huysmani,Huysman's righteye flounder,Samaridae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Samariscus latus,Deep-body righteye flounder,Samaridae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Samariscus longimanus,Longfinned flounder,Samaridae,bathydemersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Samariscus luzonensis,Luzon righteye flounder,Samaridae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Samariscus macrognathus,Large-mouth righteye flounder,Samaridae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Samariscus triocellatus,Three-spot righteye flounder,Samaridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bolbometopon muricatum,Green humphead parrotfish,Scaridae,reef-associated,,,2.7,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Calotomus carolinus,Carolines parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Calotomus japonicus,Japanese parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Calotomus spinidens,Spinytooth parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Cetoscarus ocellatus,Spotted parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Chlorurus bleekeri,Bleeker's parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Chlorurus bowersi,Bower's parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Chlorurus capistratoides,Indian parrotfish,Scaridae,reef-associated,,,2.1,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Chlorurus frontalis,Pacific slopehead parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Chlorurus gibbus,Heavybeak parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Chlorurus japanensis,Palecheek parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Chlorurus microrhinos,Steephead parrots,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Chlorurus oedema,Knothead parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Chlorurus sordidus,Daisy parrotfish,Scaridae,reef-associated,,,2.6,misidentification,South China Sea,Fishbase.se,fish,TRUE,,,,
Chlorurus spilurus,Pacific bullethead parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Hipposcarus harid,Candelamoa parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Hipposcarus longiceps,Pacific longnose parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Leptoscarus vaigiensis,Marbled parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus altipinnis,Filament-finned parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus chameleon,Chameleon parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus dimidiatus,Yellowbarred parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus ferrugineus,Rusty parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus festivus,Festive parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus flavipectoralis,Yellowfin parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus forsteni,Forsten's parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus frenatus,Bridled parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus ghobban,Blue-barred parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus globiceps,Globehead parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus hypselopterus,Yellow-tail parrotfish,Scaridae,reef-associated,,,2.1,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus longipinnis,Highfin parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus niger,Dusky parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus oviceps,Dark capped parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus ovifrons,Knobsnout parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus prasiognathos,Singapore parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus psittacus,Common parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus quoyi,Quoy's parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus rivulatus,Rivulated parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus rubroviolaceus,Ember parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus scaber,Fivesaddle parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus schlegeli,Yellowband parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus spinus,Greensnout parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus tricolor,Tricolour parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scarus xanthopleura,Red parrotfish,Scaridae,reef-associated,,,2,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Scatophagus argus,Spotted scat,Scatophagidae,demersal,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Schindleria pietschmanni,,Schindleriidae,reef-associated,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Schindleria praematura,Schindler's fish,Schindleriidae,reef-associated,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Argyrosomus amoyensis,Amoy croaker,Sciaenidae,demersal,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Argyrosomus japonicus,Japanese meagre,Sciaenidae,benthopelagic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Aspericorvina jubata,Prickly croaker,Sciaenidae,benthopelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Atrobucca kyushini,Black-spot croaker,Sciaenidae,benthopelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Atrobucca nibe,Blackmouth croaker,Sciaenidae,demersal,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bahaba polykladiskos,Spine bahaba,Sciaenidae,demersal,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bahaba taipingensis,Chinese bahaba,Sciaenidae,benthopelagic,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Chrysochir aureus,Reeve's croaker,Sciaenidae,benthopelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Collichthys lucidus,,Sciaenidae,demersal,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Dendrophysa russelii,Goatee croaker,Sciaenidae,demersal,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius amblycephalus,Bearded croaker,Sciaenidae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius belangerii,Belanger's croaker,Sciaenidae,demersal,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius borneensis,Sharpnose hammer croaker,Sciaenidae,benthopelagic,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius carouna,Caroun croaker,Sciaenidae,benthopelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius coitor,Coitor croaker,Sciaenidae,demersal,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius distinctus,,Sciaenidae,benthopelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius dussumieri,Sin croaker,Sciaenidae,demersal,,,4.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius fasciatus,,Sciaenidae,demersal,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius grypotus,,Sciaenidae,benthopelagic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius heterolepis,Large-scale croaker,Sciaenidae,benthopelagic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius latifrons,Broad-head croaker,Sciaenidae,benthopelagic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius macropterus,Largefin croaker,Sciaenidae,demersal,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius macrorhynus,Big-snout croaker,Sciaenidae,benthopelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius plagiostoma,Large-eye croaker,Sciaenidae,benthopelagic,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius trachycephalus,Leaftail croaker,Sciaenidae,benthopelagic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius trewavasae,Trewavas croaker,Sciaenidae,benthopelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Johnius weberi,Weber's croaker,Sciaenidae,benthopelagic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Larimichthys crocea,Large yellow croaker,Sciaenidae,benthopelagic,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Larimichthys polyactis,Yellow croaker,Sciaenidae,benthopelagic,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Megalonibea fusca,,Sciaenidae,benthopelagic,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Miichthys miiuy,Mi-iuy croaker,Sciaenidae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Nibea albiflora,Yellow drum,Sciaenidae,benthopelagic,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Nibea chui,Chu's croaker,Sciaenidae,pelagic-neritic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Nibea mitsukurii,Honnibe croaker,Sciaenidae,benthopelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Nibea semifasciata,Sharpnose croaker,Sciaenidae,benthopelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Nibea soldado,Soldier croaker,Sciaenidae,demersal,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Otolithes ruber,Tigertooth croaker,Sciaenidae,benthopelagic,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Otolithoides biauritus,Bronze croaker,Sciaenidae,demersal,,,4.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Panna microdon,Panna croaker,Sciaenidae,demersal,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Panna perarmata,Armour croaker,Sciaenidae,benthopelagic,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Paranibea semiluctuosa,Half-mourning croaker,Sciaenidae,demersal,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pennahia aneus,Donkey croaker,Sciaenidae,demersal,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pennahia argentata,Silver croaker,Sciaenidae,benthopelagic,,,4.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pennahia macrocephalus,Big-head pennah croaker,Sciaenidae,demersal,,,4.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pennahia pawak,Pawak croaker,Sciaenidae,benthopelagic,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Protonibea diacanthus,Blackspotted croaker,Sciaenidae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudolarimichthys terengganui,,Sciaenidae,benthopelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pterotolithus lateoides,Bigmouth croaker,Sciaenidae,benthopelagic,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pterotolithus maculatus,Blotched tiger-toothed croaker,Sciaenidae,benthopelagic,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sciaenops ocellatus,Red drum,Sciaenidae,demersal,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sonorolux fluminis,Estuary croaker,Sciaenidae,benthopelagic,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Acanthocybium solandri,Wahoo,Scombridae,pelagic-oceanic,,,4.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Auxis rochei,Bullet tuna,Scombridae,pelagic-neritic,,,4.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Auxis thazard,Frigate tuna,Scombridae,pelagic-neritic,,,4.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Euthynnus affinis,Kawakawa,Scombridae,pelagic-neritic,,,4.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Grammatorcynus bicarinatus,Shark mackerel,Scombridae,reef-associated,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Grammatorcynus bilineatus,Double-lined mackerel,Scombridae,reef-associated,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Gymnosarda unicolor,Dogtooth tuna,Scombridae,reef-associated,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Katsuwonus pelamis,Skipjack tuna,Scombridae,pelagic-oceanic,,,4.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rastrelliger brachysoma,Short mackerel,Scombridae,pelagic-neritic,,,2.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rastrelliger faughni,Island mackerel,Scombridae,pelagic-neritic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rastrelliger kanagurta,Indian mackerel,Scombridae,pelagic-neritic,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sarda orientalis,Striped bonito,Scombridae,pelagic-neritic,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scomber australasicus,Blue mackerel,Scombridae,pelagic-neritic,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scomber japonicus,Chub mackerel,Scombridae,pelagic-neritic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scomberomorus commerson,Narrow-barred Spanish mackerel,Scombridae,pelagic-neritic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scomberomorus guttatus,Indo-Pacific king mackerel,Scombridae,pelagic-neritic,,,4.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scomberomorus koreanus,Korean seerfish,Scombridae,pelagic-neritic,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scomberomorus lineolatus,Streaked seerfish,Scombridae,pelagic-neritic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scomberomorus niphonius,Japanese Spanish mackerel,Scombridae,pelagic-neritic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scomberomorus sinensis,Chinese seerfish,Scombridae,pelagic-neritic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Thunnus alalunga,Albacore,Scombridae,pelagic-oceanic,,,4.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Thunnus albacares,Yellowfin tuna,Scombridae,pelagic-oceanic,,,4.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Thunnus obesus,Bigeye tuna,Scombridae,pelagic-oceanic,,,4.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Thunnus orientalis,Pacific bluefin tuna,Scombridae,pelagic-oceanic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Thunnus tonggol,Longtail tuna,Scombridae,pelagic-neritic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scombrolabrax heterolepis,Longfin escolar,Scombrolabracidae,benthopelagic,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scombrops boops,Gnomefish,Scombropidae,benthopelagic,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Benthalbella infans,Zugmayer's pearleye,Scopelarchidae,bathypelagic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Benthalbella linguidens,Longfin pearleye,Scopelarchidae,bathypelagic,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rosenblattichthys alatus,Winged pearleye,Scopelarchidae,pelagic-oceanic,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scopelarchoides danae,Dana pearleye,Scopelarchidae,bathypelagic,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Scopelarchoides signifer,,Scopelarchidae,bathypelagic,,,4.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
